"species","lat","long","elev","intercept","confint","slope","confslope"
"ALNGLU",49.9667,6.41667,220,-0.806443746213343,-1.86262851686594,0.0919717075870668,-0.0891117961875661
"ALNGLU",50.1,8.3,200,0.160970695506014,-0.973391238126625,0.0932838741788596,-0.183296852913192
"ALNGLU",50.15,8.61667,100,-0.679010792712465,-1.70513128475461,-0.141340659530537,-0.378221103976113
"ALNGLU",50.1833,8.46667,340,-2.84484021977522,-4.80405967160127,0.0428561595248519,-0.204039020698481
"ALNGLU",50.55,7.1,130.220588235294,-1.77528767335407,-2.85909597140576,0.107094381180633,7.28134332916852e-06
"ALNGLU",50.7167,7.36667,220,-1.33844469235678,-2.46306285510005,-0.0114883412029879,-0.179110539333694
"ALNGLU",50.85,9.11667,240,1.24593497716936,0.0910947899195127,-0.0684513817590327,-0.158702904082262
"ALNGLU",50.95,11.75,250,-1.2099969105561,-2.37345890535886,0.0025358916902409,-0.0960690797142747
"ALNGLU",50.9667,8.1,310,-0.616864732105269,-1.61391641302921,-0.036198619637713,-0.210592459344566
"ALNGLU",51.05,8.4,420,-1.29732472076948,-2.25763518205386,0.00794145377654099,-0.0880135009216651
"ALNGLU",51.3833,9.96667,220,-1.00094991437895,-2.37222364557044,-0.0148765628174284,-0.159730763453641
"ALNGLU",51.4,8.06667,200,0.213222685900767,-0.918143200597798,-0.0780192625137764,-0.33949681877729
"ALNGLU",51.6,10.55,340,0.144316054178845,-0.625107275119269,0.00821237593753205,-0.0750286919116128
"ALNGLU",51.95,9.73333,200,-2.09799263071422,-3.20096482756492,0.0087299805275052,-0.0880225024790966
"ALNGLU",51.9833,6.93333,50,-1.14719854105811,-2.02810095253044,0.0851569084151983,-0.00369011457691633
"ALNGLU",52.0833,9.78333,80,-1.48061232242461,-2.49805111738028,0.101602361810653,-0.00938138524958071
"ALNGLU",52.3833,11.4667,75,-1.43240733097888,-2.57813835754308,-0.0122689074370481,-0.0994320088241939
"ALNGLU",52.6833,8.8,45,-0.631209665990467,-1.8377708054001,0.00373533722685582,-0.235665377388616
"ALNGLU",52.75,12.1,25,1.48965497913815,-0.0574662473412828,-0.115224406350987,-0.258154698760728
"ALNGLU",52.7833,7.23333,10,-1.1827895105044,-2.38673915752831,0.0711449445332807,-0.040571413530434
"ALNGLU",52.85,11.3833,30,-0.0471484423592084,-1.20168836403602,0.00673587369012215,-0.107040067270128
"ALNGLU",52.9833,8.81667,11,-1.97588559472814,-3.52650346890446,0.0664696047545623,-0.109762594413705
"ALNGLU",53.6167,9.31667,6,-0.475135079548848,-1.33149009162737,0.00485415102169854,-0.106500256135069
"ALNGLU",54.5167,9.56667,18,-1.15121368813523,-1.94134157727617,-0.0140280037505259,-0.0811600971744228
"BETPEN",47.4,10.2833,810,0.614166999458592,-0.312757437222936,0.0392941674413267,-0.0325993587408628
"BETPEN",47.45,12.25,830,-0.260206139829747,-1.39395862019614,0.0215605519783755,-0.235703722041581
"BETPEN",47.5667,10.7,810,-0.095299952247511,-0.719036402386539,0.0192828431178218,-0.0280079238683113
"BETPEN",47.5667,12.6833,629,0.0956828717189631,-0.691266681804394,-0.0181587750785576,-0.0688192037977481
"BETPEN",47.8833,11.0333,700,-1.12276465287627,-1.89285358897432,-0.0332614262456744,-0.10748948561859
"BETPEN",48,11.1667,560,-0.550598170653396,-1.29741321931067,0.00631459084894689,-0.0669355019233575
"BETPEN",48.0833,7.63333,220,-1.10549020707764,-1.90414097626791,0.0299915882257581,-0.0260476918992988
